,Demand_MW_mean,Demand_MW_mean_ci_lower,Demand_MW_mean_ci_upper,Solar_MW_mean,Solar_MW_mean_ci_lower,Solar_MW_mean_ci_upper,Wind_MW_mean,Wind_MW_mean_ci_lower,Wind_MW_mean_ci_upper,Coal_MW_mean,Coal_MW_mean_ci_lower,Coal_MW_mean_ci_upper,Hydrocarbons_MW_mean,Hydrocarbons_MW_mean_ci_lower,Hydrocarbons_MW_mean_ci_upper,Water_MW_mean,Water_MW_mean_ci_lower,Water_MW_mean_ci_upper,Nuclear_MW_mean,Nuclear_MW_mean_ci_lower,Nuclear_MW_mean_ci_upper,Biomass_MW_mean,Biomass_MW_mean_ci_lower,Biomass_MW_mean_ci_upper,Import_Positive_MW_mean,Import_Positive_MW_mean_ci_lower,Import_Positive_MW_mean_ci_upper,Export_Positive_MW_mean,Export_Positive_MW_mean_ci_lower,Export_Positive_MW_mean_ci_upper
2024-01-21,5478.048617493423,3314.1393507557923,7641.957884231054,117.06482245685636,0.0,243.8169217819961,0.0,0.0,1407.6061531017128,873.1944580629167,632.9850093495943,1113.4039067762392,1733.6936512327566,967.7442096530708,2499.6430928124423,2277.727914120557,980.2935318139394,3575.162296427175,1337.2521921195187,830.5419229900558,1843.9624612489815,33.7640942502701,8.027350261610366,59.50083823892983,0.0,0.0,450.9488312328348,1065.6006477271512,40.7033345233383,2090.497960930964
2024-01-22,6320.348037593205,4099.96146369306,8540.73461149335,125.52445801145483,0.0,253.83039718000293,0.0,0.0,1416.915606894828,910.5117723842612,667.2462734463177,1153.7772713222048,1801.5891267797958,1010.6577866727848,2592.520466886807,2304.2011148286447,965.3848523819775,3643.017377275312,1328.593132511443,815.0222495326349,1842.1640154902511,35.284810604138144,8.894465458785376,61.67515574949091,322.2361411645508,0.0,826.0565176784412,731.3601284245483,0.0,1758.4783069953305
2024-01-23,6537.879700829759,4258.836806630727,8816.922595028791,118.26399292931283,0.0,248.0435435082236,0.0,0.0,1482.5527358629586,947.788078487876,701.6800117141336,1193.8961452616184,1819.060992667066,1005.8137230714437,2632.3082622626885,2325.690182310969,947.7216795087568,3703.6586851131806,1316.847691384999,797.178995257126,1836.5163875128721,36.0042639146867,8.977375598255392,63.031152231118014,333.47697714476567,0.0,839.7707930203907,652.5466061168955,0.0,1681.3117598414315
2024-01-24,6624.595477386695,4291.723073408662,8957.46788136473,109.59262997973185,0.0,240.70761355700807,0.0,0.0,1470.7354804053066,966.7791691225732,718.033365466716,1215.5249727784303,1806.1139944434472,972.8170617152291,2639.410927171665,2351.7281056171205,936.7783770899598,3766.6778341442814,1308.3035007170893,782.6332460470165,1833.9737553871619,35.307950687344885,7.65950228192337,62.956399092766404,267.05149596857945,0.0,775.0316900635771,569.2222406292868,0.0,1599.3791477629734
2024-01-25,6599.894798844224,4211.770137339232,8988.019460349216,118.85875519382958,0.0,251.34983011513387,0.0,0.0,1456.5049149712067,963.7583229587015,712.4728602816081,1215.0437856357948,1820.264058335643,968.3095568793033,2672.218559791983,2373.7159269502263,922.5503833290743,3824.8814705713785,1304.195137377266,773.1685470562821,1835.22172769825,36.90239595387133,8.645680647663937,65.15911126007872,253.77885289669706,0.0,763.1221804683981,567.5993982783901,0.0,1599.0483599418517
2024-01-26,6546.5190400639885,4106.008291407384,8987.029788720592,113.6081124685836,0.0,247.39589046906644,0.0,0.0,1561.5195228252014,928.2937855136389,674.5160597169005,1182.0715113103772,1834.1418986589606,963.8965239846515,2704.3872733332696,2431.25488792798,945.305191328953,3917.204584527007,1321.379198765757,785.0658865003625,1857.6925110311518,36.7975662236629,7.944600624659476,65.65053182266632,114.93277979178865,0.0,625.503263209071,678.9606565874474,0.0,1711.6832878693624
2024-01-27,6030.839666713518,3538.5837340632806,8523.095599363756,115.66217159330502,0.0,250.79300991314278,0.0,0.0,1558.0123783007919,899.6443679973387,643.3994833453964,1155.889252649281,1795.9450328203259,906.8917451177414,2684.9983205229105,2421.8230847205396,901.5139948088888,3942.13217463219,1332.009283632928,790.95880511991,1873.0597621459458,35.2234148270968,5.785316305597455,64.66151334859615,3.791989949294276,0.0,515.5364024168554,892.1920891743287,0.0,1926.2112684093877
2024-01-28,5499.95190923654,2956.3859696174986,8043.517848855581,118.1912850305988,0.0,254.6073847128746,0.0,0.0,1537.331992469608,872.7982879398085,614.1076953493829,1131.488880530234,1744.5950760354613,835.7154338517918,2653.474718219131,2304.813212529927,751.336888829228,3858.2895362306263,1328.5900985255987,782.8523424115554,1874.327854639642,33.3402316157127,3.3275181456049907,63.352945085820416,0.0,0.0,451.02288385409173,1104.9990182296938,69.6417398596966,2140.3562965996907
2024-01-29,6339.45534986145,3745.4674145964514,8933.443285126448,125.97767971665188,0.0,263.9564941433017,0.0,0.0,1568.2299630211783,910.1690410369312,648.5564587657303,1171.781623308132,1850.3507527433878,917.1107126836142,2783.5907928031615,2368.2347267380496,774.2227673568034,3962.246686119296,1316.9133930896508,766.680235720921,1867.1465504583805,34.871944879592974,4.2248457486466116,65.51904401053933,308.81670438059473,0.0,826.7730070195955,770.106342562947,0.0,1808.576030902756
2024-01-30,6557.7272038819,3912.128871377263,9203.325536386537,119.34564954449553,0.0,258.6737095686543,0.0,0.0,1654.641058142185,947.4390281365688,683.09331706718,1211.7847392059575,1897.6272708282384,939.9281035835978,2855.326438072879,2352.9041245777867,721.1786321420034,3984.62961701357,1308.868424645155,754.1820885591796,1863.5547607311305,35.62212054738017,4.356196598828536,66.88804449593181,320.19073442406835,0.0,841.0024656848686,690.6737375671324,0.0,1731.5663475989354
2024-01-31,6645.803346365827,3951.846263867489,9339.760428864163,110.09651379167164,0.0,250.77009740237386,0.0,0.0,1662.8806667473582,966.4233258895296,699.5267384873779,1233.3199132916811,1896.2175773769445,914.8100238245231,2877.6251309293657,2415.633523302931,747.1562801263049,4084.110766479557,1297.492394150262,738.8004348695589,1856.184353430965,34.96535866566341,3.0974451829606053,66.8332721483662,253.89155758738553,0.0,776.7102551110074,606.7189337083609,0.0,1649.715073911736
2024-02-01,6617.9524441355325,3874.4722655192163,9361.432622751849,119.89549322095748,0.0,261.84173747566973,0.0,0.0,1668.0350491823513,963.3928037679509,694.0323643676898,1232.753243168212,1900.7589643243891,897.0689133077866,2904.4490153409915,2401.057617877627,697.3172013245285,4104.798034430725,1296.8437266214967,734.1747586115238,1859.5126946314695,36.59859502873209,4.145272108954735,69.05191794850944,240.74097846915916,0.0,765.2114012291995,604.4772873791441,0.0,1649.4435081241654
2024-02-02,6568.794824566581,3778.1629819304926,9359.42666720267,114.15475508799923,0.0,257.4024012856512,0.0,0.0,1791.7870029292365,927.9156841262745,656.13256447911,1199.698803773439,1888.3738806011634,864.0840056672691,2912.6637555350576,2495.033002076207,756.4142986897086,4233.651705462706,1311.370411720135,745.1108418173096,1877.6299816229605,36.52484610835948,3.501323419432701,69.54836879728626,102.00966755883763,0.0,627.9790772379265,715.2276261272964,0.0,1762.129473844717
2024-02-03,6048.525927207013,3210.733588874312,8886.318265539714,116.66106811924305,0.0,261.1622479344476,0.0,0.0,1806.3897194810156,899.2450514331294,625.0593515372552,1173.4307513290037,1817.1414155420803,773.7316203652047,2860.551210718956,2449.2916361052785,676.9544499810199,4221.628822229537,1325.2351653017345,755.4030127787602,1895.0673178247089,34.97070937572995,1.3902084164036737,68.55121033505623,0.0,0.0,518.3854943813152,927.864076706343,0.0,1976.718660461198
2024-02-04,5521.797154208918,2637.675624418978,8405.918683998858,118.77347586056212,0.0,264.56188375355794,0.0,0.0,1803.2104595562166,872.4165148706053,595.8453378947827,1148.9876918464279,1738.110907809238,676.5270447655766,2799.694770852899,2368.4649079770656,562.641458561681,4174.28835739245,1319.322395619876,746.2528594612185,1892.3919317785335,33.09560996450108,0.0,67.22201261344478,0.0,0.0,454.2361437931445,1140.0765039482749,89.2272903458761,2190.9257175506737
2024-02-05,6358.148255626073,3427.6204453975283,9288.676065854617,126.94373359717159,0.0,274.19906244334874,0.0,0.0,1850.924089901861,909.7937897301283,630.3895093475553,1189.1980701127013,1831.2069459283766,748.73203843186,2913.6818534248932,2395.8292567026742,550.4812404819568,4241.177272923392,1310.6700193869065,734.1479573789636,1887.1920813948493,34.62526619005913,0.0,69.35239102714024,296.21393456891155,0.0,830.5188048219134,804.604633848187,0.0,1859.4857835465011
2024-02-06,6578.168108368173,3600.732430517851,9555.603786218497,119.9586713031405,0.0,268.55485474759007,0.0,0.0,1953.6287358956338,947.063005647377,665.0025609004854,1229.1234503942687,1884.5624089902317,781.1678123713282,2987.957005609135,2416.4302800769105,533.2397184569829,4299.620841696838,1300.2852677725773,720.6183034792914,1879.9522320658632,35.36637670666319,0.05097665920417427,70.68177675412221,307.68724246011556,0.0,845.1960335081271,724.6069524445548,0.0,1782.7177956849769
2024-02-07,6666.065120347687,3643.9082710749444,9688.22196962043,111.034857868046,0.0,260.90224175013805,0.0,0.0,1977.6465229211299,966.0464743850736,681.5011583835902,1250.591790386557,1904.9014228776255,780.1937847425324,3029.6090610127185,2443.353156129981,523.9714716466337,4362.734840613328,1291.7369759372427,708.9524009592382,1874.5215509152472,34.697081698229724,0.0,70.58789632279348,241.48338973125172,0.0,781.3007336774912,640.0977257624404,0.0,1701.0548977998085
2024-02-08,6636.92025278916,3569.249689488359,9704.590816089962,120.53417263960095,0.0,271.66482704228184,0.0,0.0,1998.0792337994567,963.0147713925571,676.0656685979066,1249.9638741872077,1938.3135416922619,791.8414600709114,3084.7856233136126,2464.45910608659,509.4240888998254,4419.4941232733545,1288.8929068174962,703.2580706607594,1874.527742974233,36.31753529512515,0.0,72.77136098312124,228.4241904754273,0.0,770.1693720853687,637.3137227075229,0.0,1700.9479987994555
2024-02-09,6590.197582121582,3478.8893020919068,9701.505862151258,115.06956351010069,0.0,267.43680124989794,0.0,0.0,2136.629976249802,927.5361161974234,638.2204663514242,1216.8517660434227,1951.3181583349121,782.8797060435359,3119.7566106262884,2522.8768681414404,533.2821398218732,4512.471596461008,1306.0635774550249,717.5977242328931,1894.5294306771566,36.23315519747478,0.0,73.2386439488467,89.78068310960279,0.0,633.2871921118206,747.5332541864137,0.0,1813.790677697149
2024-02-10,6066.822340678384,2911.6675363678555,9221.977144988912,117.32154464074549,0.0,270.9314021873495,0.0,0.0,2165.576865960071,898.8628943666936,607.1970952870544,1190.528693446333,1893.2043082405978,703.0415964690162,3083.3670200121796,2512.569323618468,488.7017098805618,4536.436937356374,1317.8684719397208,726.8045235832712,1908.9324202961704,34.67188004378985,0.0,72.21903370172744,0.0,0.0,524.0324055564352,959.6507881156383,0.0,2028.5385366437456
2024-02-11,5543.326370572131,2345.26893220739,8741.383808936873,119.66825416131542,0.0,274.5097702451241,0.0,0.0,2176.3112288177786,872.0364988432293,578.0342208708457,1166.038776815613,1810.9524679737162,599.760528865794,3022.1444070816387,2396.432143702382,339.2215307964684,4453.642756608295,1314.4279291628684,720.7788636013663,1908.0769947243705,32.793506141780306,0.0,70.87370054259154,0.0,0.0,460.21366198339695,1171.3548356241395,99.7989782589732,2242.910692989306
2024-02-12,6376.828674058221,3135.292740649124,9618.364607467318,127.62265620300508,0.0,283.9091847110692,0.0,0.0,2237.289712521389,909.4145696301337,612.6499920781607,1206.1791471821066,1886.4097842010374,652.1961401251804,3120.6234282768946,2458.984004091065,361.9613315624433,4556.006676619687,1303.8429323750192,707.634643308451,1900.0512214415876,34.32330300331094,0.0,72.98901828759993,284.22724577893774,0.0,836.9546741401925,835.3859632779378,0.0,1911.8578101754783
2024-02-13,6598.902726108903,3313.8145193029077,9883.990932914898,120.83649836893997,0.0,278.4070225681438,0.0,0.0,2353.0063779679676,946.683691430924,647.3248116089229,1246.042571252925,1914.6820519900832,658.8018000823124,3170.562303897854,2444.5200278873945,309.9921308971734,4579.0479248776155,1295.7698569351064,697.0132411132905,1894.5264727569224,35.06702096153129,0.0,74.30742660797291,295.7747558248318,0.0,852.0272050966694,754.9023447171742,0.0,1835.3900469293117
2024-02-14,6685.794541679191,3358.618042021141,10012.971041337241,111.72944826196583,0.0,270.55435368514856,0.0,0.0,2389.73204579702,965.667058994136,663.8769147751354,1267.4572032131366,1911.7579239823524,635.3049084550007,3188.210939509704,2506.3858179825957,335.114886470536,4677.656749494656,1285.4083830198592,684.3107634976539,1886.5060025420646,34.40165998363453,0.0,74.20510551568397,229.64207428259658,0.0,788.4870329823549,669.9177739831783,0.0,1753.9806237158723
2024-02-15,6656.536212206299,3286.8201884503264,10026.25223596227,121.39757515137804,0.0,281.4370493392086,0.0,0.0,2422.5561628397754,962.6352118860484,658.4903318069444,1266.7800919651525,1931.9054198101235,635.5003506908306,3228.3104889294164,2492.670514368601,285.86468682564146,4699.476341911561,1284.7259116544285,681.2928093286941,1888.1590139801629,36.02629985865102,0.0,76.38130670742143,216.65114852265606,0.0,777.6870684545767,666.6689053947401,0.0,1754.1039479135738
2024-02-16,6610.933938551988,3200.1095727674656,10021.75830433651,115.7774502192646,0.0,277.0367507232622,0.0,0.0,2573.1866093004073,927.1563692892635,620.6908814401804,1233.6218571383465,1945.863409590621,629.6100127352731,3262.116806445969,2585.7882931068484,343.7353838323179,4827.841202381379,1300.1955119021595,694.6087272822822,1905.7822965220369,35.94552745031521,0.0,76.84150917887762,78.07312182572775,0.0,641.1219504701336,776.4338005513725,0.0,1867.1671013752616
2024-02-17,6085.689345100892,2633.553256926114,9537.82543327567,118.17270623239814,0.0,280.63141177749037,0.0,0.0,2613.9152676690387,898.4828314756181,589.7100878082226,1207.2555751430136,1901.876896951756,565.4803403019989,3238.273453601513,2540.901546678162,264.55182373840216,4817.251269617922,1314.0217115652447,706.2822578528097,1921.7611652776795,34.38678138474347,0.0,75.81443850876258,0.0,0.0,532.1748949403864,988.106744731832,0.0,2082.133755719929
2024-02-18,5564.4576831245995,2071.9083732175436,9057.006993031655,120.38742171367545,0.0,284.0625641579345,0.0,0.0,2636.148343477113,871.6566972483355,560.5875078791337,1182.7258866175373,1841.2708714054806,484.2757511142072,3198.265991696754,2459.2231745299778,148.74738517581227,4769.698963884143,1308.985328361061,699.253208812642,1918.71744790948,32.50968746162148,0.0,74.46109989759003,0.0,0.0,468.65713430695257,1199.375948461736,102.02399358478442,2296.7279033386876
2024-02-19,6395.685850655579,2861.925152862333,9929.446548448825,128.46342467219415,0.0,293.5338054867837,0.0,0.0,2708.0843315881784,909.0348651716207,595.2621369813345,1222.807593361907,1937.847025343789,557.0532309749424,3318.6408197126357,2487.4362021132406,137.38439634815404,4837.488007878327,1300.2904886830963,688.4117354930921,1912.1692418731004,34.03961921812108,0.0,76.5647018475571,272.70055458861844,0.0,845.7932479008773,862.9818408021447,0.0,1966.0696230282242
2024-02-20,6619.689101184094,3044.877735091594,10194.500467276595,121.56524384680579,0.0,287.89881102583155,0.0,0.0,2834.655363085187,946.3039754862725,629.9882624364252,1262.6196885361198,1979.2410667325878,574.920439875714,3383.5616935894614,2507.191501468401,118.99760084495165,4895.38540209185,1290.7203394376888,676.8449779020776,1904.5957009733002,34.782611405775555,0.0,77.87172447233735,284.30351162761656,0.0,861.2165835996028,782.08237890753,0.0,1889.923839394666
2024-02-21,6705.268293654489,3090.392873787577,10320.1437135214,112.56139674088394,0.0,280.110578400955,0.0,0.0,2882.0609874108018,965.2873307019722,646.5847687469889,1283.9898926569556,1977.1768807872722,550.0253343991078,3404.3284271754364,2534.957156989827,110.01603290559797,4959.898281074056,1282.1264200223459,666.2682808080629,1897.984559236629,34.11602833216365,0.0,77.75879226479543,218.2240170685588,0.0,797.9961869555075,696.691133073348,0.0,1808.7959618557945
2024-02-22,6676.553041732418,3021.4261195438885,10331.679963920948,122.13444685939135,0.0,290.8792723286123,0.0,0.0,2925.3656797415742,962.2554660057664,641.2387867240049,1283.272145287528,1986.2152157231124,537.1914992340371,3435.2389322121876,2555.223261776791,93.9811825696629,5016.465340983919,1280.0395713975595,662.3300950780775,1897.7490477170413,35.73930624258545,0.0,79.92549331126989,205.2841097929537,0.0,787.4970326475752,693.0445638934358,0.0,1809.1793361537402
